design,policy,p,q,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops,lateral_per_injected,escape_per_injected,escape_per_received,delivery_ratio
440_flex,flex,4,4,bit_complement,0.025,31877,0.0248766,2.000031,11.041675,13.041706,3.998744,0,3.13706e-05,3.14051e-05,0.998902
440_flex,flex,4,4,bit_complement,0.050,64179,0.0500891,2.000546,11.109633,13.110179,4.002308,0,0.000264884,0.000265153,0.998987
440_flex,flex,4,4,bit_complement,0.075,95843,0.0747953,2.002131,11.184765,13.186895,4.005787,0,0.00145029,0.00145188,0.998904
440_flex,flex,4,4,bit_complement,0.100,128013,0.0999008,2.004958,11.288106,13.293064,4.014726,0,0.00483545,0.00484074,0.998906
440_flex,flex,4,4,bit_complement,0.125,159953,0.124829,2.010433,11.436203,13.446636,4.035517,0,0.0112533,0.0112654,0.998925
440_flex,flex,4,4,bit_complement,0.150,192279,0.150052,2.018733,11.644424,13.663157,4.069945,0,0.0225454,0.0225704,0.998892
440_flex,flex,4,4,bit_complement,0.175,224176,0.174927,2.032232,12.034564,14.066796,4.116254,0,0.0371895,0.0372344,0.998796
440_flex,flex,4,4,bit_complement,0.200,256078,0.199778,2.051819,13.383066,15.434885,4.135666,0,0.0454315,0.0454958,0.998586
440_flex,flex,4,4,bit_complement,0.225,288187,0.224815,2.087388,14.383315,16.470703,4.111783,0,0.044832,0.0448981,0.998529
440_flex,flex,4,4,bit_complement,0.250,320343,0.249858,2.156761,14.993872,17.150633,4.093278,0,0.0472525,0.04733,0.998361
440_flex,flex,4,4,bit_complement,0.275,115110,0.0882531,354.301539,49.372526,403.674064,4.221841,0,0.156224,0.159192,0.981357
440_flex,flex,4,4,bit_complement,0.300,43764,0.0325516,1959.995320,163.881630,2123.876950,4.435751,0,0.33635,0.353286,0.952061
440_flex,flex,4,4,bit_complement,0.325,38864,0.0286812,2321.087574,170.688794,2491.776367,4.457126,0,0.366277,0.387748,0.944627
440_flex,flex,4,4,bit_complement,0.350,36410,0.0267742,2351.161507,152.803478,2503.964985,4.526247,0,0.496045,0.527005,0.941252
440_flex,flex,4,4,bit_complement,0.375,33536,0.0245156,2943.205513,231.468834,3174.674347,4.490631,0,0.513508,0.548789,0.935711
440_flex,flex,4,4,bit_complement,0.400,30759,0.0223664,3189.050438,180.078557,3369.128995,4.602990,0,0.447024,0.480282,0.930752
440_flex,flex,4,4,bit_complement,0.425,33487,0.0244875,2648.034042,208.374681,2856.408723,4.608857,0,0.392749,0.419602,0.936005
440_flex,flex,4,4,bit_complement,0.450,33004,0.0240992,3058.313191,195.226959,3253.540150,4.597238,0,0.515059,0.551075,0.934644
440_flex,flex,4,4,bit_complement,0.475,30118,0.0218656,3446.376340,211.861762,3658.238102,4.484708,0,0.540939,0.582107,0.929278
440_flex,flex,4,4,bit_complement,0.500,31071,0.0226016,3270.945904,201.586139,3472.532043,4.609679,0,0.504007,0.541307,0.931093
440_flex,flex,4,4,bit_complement,0.525,36936,0.0272156,4126.079946,167.153433,4293.233379,4.623321,0,0.502112,0.53238,0.943145
440_flex,flex,4,4,bit_complement,0.550,33995,0.0248945,3674.339181,230.724400,3905.063581,4.656739,0,0.505927,0.539746,0.937344
440_flex,flex,4,4,bit_complement,0.575,31933,0.0232586,3708.620839,227.917907,3936.538746,4.527325,0,0.560048,0.600719,0.932296
440_flex,flex,4,4,bit_complement,0.600,34462,0.0252531,3908.980448,191.759343,4100.739791,4.614899,0,0.513116,0.547055,0.937961
440_flex,flex,4,4,bit_complement,0.625,29478,0.0213508,3192.904204,208.220096,3401.124300,4.606718,0,0.543354,0.586081,0.927098
440_flex,flex,4,4,bit_complement,0.650,28560,0.0206359,3688.854547,228.588135,3917.442682,4.655713,0,0.567647,0.613765,0.92486
440_flex,flex,4,4,bit_complement,0.675,30054,0.0218266,3482.454399,237.730797,3720.185196,4.561529,0,0.517069,0.556232,0.929593
440_flex,flex,4,4,bit_complement,0.700,32798,0.0239945,3322.161690,193.253573,3515.415264,4.511803,0,0.512745,0.547553,0.936429
440_flex,flex,4,4,bit_complement,0.725,32098,0.0234055,3956.828165,186.697086,4143.525251,4.701592,0,0.596237,0.638806,0.93336
440_flex,flex,4,4,bit_complement,0.750,34645,0.0253969,3527.851421,148.302264,3676.153685,4.533776,0,0.502583,0.535622,0.938317
440_flex,flex,4,4,bit_complement,0.775,37590,0.0276766,3953.753966,239.017925,4192.771891,4.546604,0,0.468555,0.497177,0.942431
440_flex,flex,4,4,bit_complement,0.800,34454,0.0252727,3893.853906,187.507744,4081.361650,4.418776,0,0.531143,0.565705,0.938904
440_flex,flex,4,4,bit_complement,0.825,37071,0.0272492,3863.346942,227.529201,4090.876143,4.619485,0,0.426884,0.453711,0.94087
