design,policy,p,q,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops,lateral_selections_per_injected_packet,lateral_selections_per_received_packet,escape_activations_per_received_packet
000_adaptive,adaptive,0,0,diagonal_3d,0.025,31877,0.0248531,2.000031,19.128253,21.128285,8.000566,0,0,0.000188608
000_adaptive,adaptive,0,0,diagonal_3d,0.050,64179,0.050043,2.000546,19.306049,21.306596,8.009648,0,0,0.00217001
000_adaptive,adaptive,0,0,diagonal_3d,0.075,95843,0.0747281,2.002206,19.575137,21.577343,8.041902,0,0,0.00901183
000_adaptive,adaptive,0,0,diagonal_3d,0.100,128013,0.0998062,2.005174,20.024814,22.029988,8.115677,0,0,0.0248685
000_adaptive,adaptive,0,0,diagonal_3d,0.125,159953,0.124686,2.011078,22.394291,24.405368,8.189000,0,0,0.0410218
000_adaptive,adaptive,0,0,diagonal_3d,0.150,192279,0.149821,2.020243,24.703276,26.723519,8.127819,0,0,0.0322468
000_adaptive,adaptive,0,0,diagonal_3d,0.175,224176,0.174669,2.035008,25.035183,27.070191,8.093990,0,0,0.0280128
000_adaptive,adaptive,0,0,diagonal_3d,0.200,256078,0.199516,2.054996,24.903039,26.958035,8.070264,0,0,0.0269715
000_adaptive,adaptive,0,0,diagonal_3d,0.225,16221,0.0106164,1346.479947,268.315917,1614.795864,8.133932,0,0,0.424902
000_adaptive,adaptive,0,0,diagonal_3d,0.250,11626,0.00704531,2257.144489,457.851187,2714.995675,8.171657,0,0,0.637392
000_adaptive,adaptive,0,0,diagonal_3d,0.275,9969,0.00577344,2827.861976,529.175913,3357.037889,8.190798,0,0,0.790122
000_adaptive,adaptive,0,0,diagonal_3d,0.300,9447,0.0053875,2867.375580,609.645012,3477.020592,8.197796,0,0,0.804669
000_adaptive,adaptive,0,0,diagonal_3d,0.325,9110,0.00506641,3098.849961,524.480648,3623.330609,8.204472,0,0,0.851812
000_adaptive,adaptive,0,0,diagonal_3d,0.350,8826,0.00486094,3228.062199,593.214079,3821.276278,8.227901,0,0,0.886371
000_adaptive,adaptive,0,0,diagonal_3d,0.375,9060,0.00506797,3402.728996,595.480499,3998.209496,8.209342,0,0,0.914753
000_adaptive,adaptive,0,0,diagonal_3d,0.400,8809,0.00482266,3440.241698,599.385712,4039.627410,8.219990,0,0,0.910092
000_adaptive,adaptive,0,0,diagonal_3d,0.425,8821,0.00483281,3450.806660,581.181377,4031.988038,8.220498,0,0,0.924669
000_adaptive,adaptive,0,0,diagonal_3d,0.450,8730,0.00477734,3495.451186,596.393786,4091.844971,8.226002,0,0,0.931643
000_adaptive,adaptive,0,0,diagonal_3d,0.475,8566,0.00462109,3551.221133,628.312088,4179.533221,8.230600,0,0,0.946069
000_adaptive,adaptive,0,0,diagonal_3d,0.500,8562,0.00467969,3519.470785,608.789316,4128.260100,8.213689,0,0,0.941235
000_adaptive,adaptive,0,0,diagonal_3d,0.525,8504,0.00459688,3626.350782,592.775323,4219.126105,8.206322,0,0,0.945275
000_adaptive,adaptive,0,0,diagonal_3d,0.550,8420,0.00452891,3592.591685,628.778161,4221.369846,8.221494,0,0,0.966534
000_adaptive,adaptive,0,0,diagonal_3d,0.575,8581,0.00464844,3731.333109,658.451429,4389.784538,8.210756,0,0,0.960336
000_adaptive,adaptive,0,0,diagonal_3d,0.600,8367,0.00450156,3608.924158,672.842589,4281.766748,8.222492,0,0,0.966331
000_adaptive,adaptive,0,0,diagonal_3d,0.625,8449,0.00455625,3647.538237,679.346536,4326.884774,8.225652,0,0,0.963992
000_adaptive,adaptive,0,0,diagonal_3d,0.650,8378,0.00446094,3668.307005,633.828196,4302.135201,8.208056,0,0,0.963222
000_adaptive,adaptive,0,0,diagonal_3d,0.675,8445,0.00456563,3659.564339,627.385352,4286.949692,8.204312,0,0,0.958248
000_adaptive,adaptive,0,0,diagonal_3d,0.700,8431,0.00456484,3696.701352,636.265788,4332.967140,8.222831,0,0,0.959781
000_adaptive,adaptive,0,0,diagonal_3d,0.725,8349,0.00446953,3696.268485,641.307289,4337.575773,8.214997,0,0,0.962244
000_adaptive,adaptive,0,0,diagonal_3d,0.750,8537,0.00460703,3618.915042,652.148720,4271.063761,8.208581,0,0,0.956249
000_adaptive,adaptive,0,0,diagonal_3d,0.775,8305,0.00445156,3703.094946,639.269568,4342.364514,8.225693,0,0,0.964198
000_adaptive,adaptive,0,0,diagonal_3d,0.800,8404,0.00455,3663.454327,659.745879,4323.200206,8.204670,0,0,0.951923
000_adaptive,adaptive,0,0,diagonal_3d,0.825,8518,0.00459922,3724.598947,684.881773,4409.480720,8.206897,0,0,0.962799
000_adaptive,adaptive,0,0,diagonal_3d,0.850,8515,0.00458516,3762.499915,651.262225,4413.762140,8.229000,0,0,0.966093
000_adaptive,adaptive,0,0,diagonal_3d,0.875,8347,0.00448125,3685.406032,684.087692,4369.493724,8.204324,0,0,0.967922
000_adaptive,adaptive,0,0,diagonal_3d,0.900,8371,0.00447344,3702.906916,643.534404,4346.441320,8.210269,0,0,0.962801
000_adaptive,adaptive,0,0,diagonal_3d,0.925,8470,0.004575,3714.599556,691.419740,4406.019296,8.220287,0,0,0.961407
000_adaptive,adaptive,0,0,diagonal_3d,0.950,8448,0.00453125,3735.831207,654.381724,4390.212931,8.226552,0,0,0.965345
000_adaptive,adaptive,0,0,diagonal_3d,0.975,8472,0.00457109,3717.728764,659.758332,4377.487096,8.215690,0,0,0.971629
000_adaptive,adaptive,0,0,diagonal_3d,1.000,8669,0.00470859,3723.680770,649.819811,4373.500581,8.231956,0,0,0.956363
000_adaptive,adaptive,0,0,tornado_x_3d,0.025,31877,0.0248797,2.000031,9.082742,11.082773,3.013440,0,0,0.0028889
000_adaptive,adaptive,0,0,tornado_x_3d,0.050,64179,0.0500922,2.000546,9.313438,11.313984,3.088056,0,0,0.0179357
000_adaptive,adaptive,0,0,tornado_x_3d,0.075,95843,0.0748055,2.002298,9.923395,11.925693,3.229846,0,0,0.0465583
000_adaptive,adaptive,0,0,tornado_x_3d,0.100,128012,0.0998602,2.020098,14.042294,16.062392,3.261538,0,0,0.0460097
000_adaptive,adaptive,0,0,tornado_x_3d,0.125,91123,0.0706047,111.254188,39.973709,151.227897,3.227787,0,0,0.0607697
000_adaptive,adaptive,0,0,tornado_x_3d,0.150,14713,0.0107937,1590.542415,375.745802,1966.288217,4.183555,0,0,0.39903
000_adaptive,adaptive,0,0,tornado_x_3d,0.175,9718,0.00689219,2672.377125,607.128882,3279.506008,4.812061,0,0,0.624915
000_adaptive,adaptive,0,0,tornado_x_3d,0.200,8826,0.00619609,3128.410037,661.639768,3790.049805,4.997478,0,0,0.692473
000_adaptive,adaptive,0,0,tornado_x_3d,0.225,8421,0.00587812,3320.905502,698.841839,4019.747342,5.104732,0,0,0.733785
000_adaptive,adaptive,0,0,tornado_x_3d,0.250,8239,0.00573594,3468.113593,711.169709,4179.283302,5.164260,0,0,0.750477
000_adaptive,adaptive,0,0,tornado_x_3d,0.275,8160,0.00567578,3556.244322,724.840881,4281.085203,5.182244,0,0,0.762836
000_adaptive,adaptive,0,0,tornado_x_3d,0.300,8026,0.00557109,3642.665966,739.097322,4381.763287,5.199411,0,0,0.76511
000_adaptive,adaptive,0,0,tornado_x_3d,0.325,7945,0.00550625,3737.677497,728.500709,4466.178207,5.242338,0,0,0.778802
000_adaptive,adaptive,0,0,tornado_x_3d,0.350,7939,0.0055,3763.767330,740.685795,4504.453125,5.250852,0,0,0.783949
000_adaptive,adaptive,0,0,tornado_x_3d,0.375,7851,0.00543359,3793.111718,759.900791,4553.012509,5.263408,0,0,0.787922
000_adaptive,adaptive,0,0,tornado_x_3d,0.400,7876,0.00545469,3857.032942,736.518906,4593.551848,5.250645,0,0,0.785448
000_adaptive,adaptive,0,0,tornado_x_3d,0.425,7812,0.00540078,3871.593375,742.981484,4614.574859,5.286996,0,0,0.796181
000_adaptive,adaptive,0,0,tornado_x_3d,0.450,7854,0.00543984,3901.481689,749.702858,4651.184547,5.267701,0,0,0.794198
000_adaptive,adaptive,0,0,tornado_x_3d,0.475,7870,0.00544609,3889.939033,754.174437,4644.113470,5.260508,0,0,0.788553
000_adaptive,adaptive,0,0,tornado_x_3d,0.500,7811,0.00540234,3936.567607,732.954881,4669.522487,5.279971,0,0,0.798843
