design,policy,p,q,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops,lateral_per_injected,escape_per_injected,escape_per_received,delivery_ratio
000_adaptive,adaptive,0,0,bit_complement,0.025,31877,0.0248742,2.000031,11.038161,13.038192,3.996200,0,6.27412e-05,6.2816e-05,0.998808
000_adaptive,adaptive,0,0,bit_complement,0.050,64179,0.0500859,2.000530,11.101591,13.102121,3.998659,0,0.000451861,0.000452348,0.998925
000_adaptive,adaptive,0,0,bit_complement,0.075,95843,0.0747906,2.002267,11.186333,13.188599,4.009276,0,0.00236846,0.0023712,0.998842
000_adaptive,adaptive,0,0,bit_complement,0.100,128013,0.0998961,2.004966,11.301172,13.306138,4.025691,0,0.00678056,0.0067883,0.998859
000_adaptive,adaptive,0,0,bit_complement,0.125,159953,0.124823,2.010239,11.478376,13.488615,4.058808,0,0.0147106,0.0147271,0.998881
000_adaptive,adaptive,0,0,bit_complement,0.150,192279,0.150035,2.018459,11.793038,13.811497,4.104866,0,0.0264511,0.0264834,0.998783
000_adaptive,adaptive,0,0,bit_complement,0.175,224176,0.174904,2.031432,13.093288,15.124720,4.111941,0,0.0279468,0.0279841,0.998666
000_adaptive,adaptive,0,0,bit_complement,0.200,256077,0.19977,2.049017,13.653989,15.703007,4.096087,0,0.0271207,0.0271601,0.998551
000_adaptive,adaptive,0,0,bit_complement,0.225,288187,0.224783,2.087265,14.238842,16.326106,4.078743,0,0.0264446,0.0264874,0.998386
000_adaptive,adaptive,0,0,bit_complement,0.250,320345,0.249835,2.122737,14.435468,16.558206,4.064102,0,0.0270708,0.0271179,0.998264
000_adaptive,adaptive,0,0,bit_complement,0.275,339743,0.264864,21.823409,16.240029,38.063438,4.053660,0,0.0384467,0.038528,0.99789
000_adaptive,adaptive,0,0,bit_complement,0.300,334483,0.26063,200.481649,21.647632,222.129281,4.028938,0,0.0619105,0.0620732,0.997378
000_adaptive,adaptive,0,0,bit_complement,0.325,136069,0.105138,1210.522831,55.380682,1265.903512,3.941127,0,0.181114,0.183122,0.989035
