policy,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops,lateral_per_injected,escape_per_injected,escape_per_received,delivery_ratio
adaptive,uniform_random,0.025,31838,0.0248469,2,9.777261,11.777261,3.374072,0,6.2818e-05,6.28852e-05,0.998932
adaptive,uniform_random,0.050,64150,0.0500602,2.000437,9.793436,11.793873,3.365888,0,0.000623539,0.000624249,0.998862
adaptive,uniform_random,0.075,95712,0.0746922,2.002092,9.847980,11.850072,3.374610,0,0.00191199,0.00191411,0.998893
adaptive,uniform_random,0.100,127782,0.0997055,2.005038,9.883070,11.888108,3.373726,0,0.00379553,0.00380026,0.998756
adaptive,uniform_random,0.125,159686,0.124621,2.010124,9.931630,11.941755,3.376780,0,0.00733314,0.007341,0.998929
adaptive,uniform_random,0.150,191898,0.149738,2.017108,9.977748,11.994856,3.376642,0,0.0115739,0.0115879,0.998786
adaptive,uniform_random,0.175,224032,0.174829,2.027433,10.032165,12.059598,3.378388,0,0.017868,0.017888,0.99888
adaptive,uniform_random,0.200,256013,0.199802,2.042953,10.100428,12.143381,3.385621,0,0.0249831,0.0250092,0.998957
adaptive,uniform_random,0.225,288236,0.224934,2.061622,10.182471,12.244093,3.395016,0,0.033136,0.033173,0.998886
adaptive,uniform_random,0.250,320372,0.250022,2.088167,10.265308,12.353475,3.402424,0,0.0430094,0.0430556,0.998926
adaptive,uniform_random,0.275,352385,0.274991,2.123788,10.360131,12.483919,3.410459,0,0.0532628,0.0533227,0.998876
adaptive,uniform_random,0.300,384295,0.299895,2.169054,10.485784,12.654838,3.422004,0,0.0657984,0.0658719,0.998884
adaptive,uniform_random,0.325,415911,0.324567,2.230027,10.649098,12.879125,3.435207,0,0.0779926,0.0780799,0.998882
adaptive,uniform_random,0.350,447830,0.349462,2.310614,10.945924,13.256537,3.447049,0,0.0897238,0.0898279,0.998841
adaptive,uniform_random,0.375,479779,0.374376,2.437820,11.554811,13.992631,3.448524,0,0.1,0.100121,0.998795
adaptive,uniform_random,0.400,511519,0.399093,2.654447,12.123411,14.777858,3.445177,0,0.10999,0.110136,0.998671
adaptive,uniform_random,0.425,543621,0.424132,3.008243,12.531057,15.539300,3.438673,0,0.120146,0.120308,0.998653
adaptive,uniform_random,0.450,575553,0.449027,3.821595,12.835615,16.657210,3.435137,0,0.13109,0.131272,0.998612
adaptive,uniform_random,0.475,607723,0.474137,4.712306,13.077931,17.790237,3.429015,0,0.14126,0.141453,0.998638
adaptive,uniform_random,0.500,639219,0.498679,8.412211,13.335974,21.748185,3.425053,0,0.152172,0.152389,0.998576
