design,policy,p,q,traffic,injection_rate,packets_injected,reception_rate,queueing_latency,network_latency,total_latency,average_hops
000_adaptive,adaptive,0,0,uniform_random,0.025,31838,0.0248414,2,11.026638,13.026638,3.992924
000_adaptive,adaptive,0,0,uniform_random,0.050,64150,0.0500555,2.000421,11.085905,13.086326,4.001545
000_adaptive,adaptive,0,0,uniform_random,0.075,95712,0.0746844,2.002082,11.131951,13.134033,3.999927
000_adaptive,adaptive,0,0,uniform_random,0.100,127782,0.0996898,2.004945,11.205473,13.210418,4.010399
000_adaptive,adaptive,0,0,uniform_random,0.125,159686,0.124608,2.010245,11.283007,13.293251,4.017718
000_adaptive,adaptive,0,0,uniform_random,0.150,191898,0.149714,2.017335,11.396041,13.413377,4.038954
000_adaptive,adaptive,0,0,uniform_random,0.175,224032,0.174802,2.027634,11.513810,13.541444,4.053842
000_adaptive,adaptive,0,0,uniform_random,0.200,256013,0.199773,2.044136,11.730350,13.774486,4.085101
000_adaptive,adaptive,0,0,uniform_random,0.225,288236,0.224888,2.064497,12.499439,14.563936,4.125760
000_adaptive,adaptive,0,0,uniform_random,0.250,320372,0.249938,2.092758,13.695883,15.788641,4.108090
000_adaptive,adaptive,0,0,uniform_random,0.275,352385,0.274874,2.132552,14.248628,16.381180,4.088904
000_adaptive,adaptive,0,0,uniform_random,0.300,384295,0.299769,2.189719,14.602871,16.792590,4.071391
000_adaptive,adaptive,0,0,uniform_random,0.325,415909,0.324414,2.271993,14.715952,16.987945,4.059400
000_adaptive,adaptive,0,0,uniform_random,0.350,447822,0.349305,2.415559,14.813268,17.228827,4.052613
000_adaptive,adaptive,0,0,uniform_random,0.375,47204,0.0352344,1282.213836,197.330931,1479.544767,4.231308
000_adaptive,adaptive,0,0,uniform_random,0.400,36645,0.027032,1452.640068,261.232508,1713.872576,4.272767
000_adaptive,adaptive,0,0,uniform_random,0.425,42566,0.0316484,1705.875710,241.041397,1946.917107,4.305357
000_adaptive,adaptive,0,0,uniform_random,0.450,32970,0.0241469,2085.144785,299.488255,2384.633040,4.360813
000_adaptive,adaptive,0,0,uniform_random,0.475,28291,0.0205047,2127.162082,292.243428,2419.405509,4.424446
000_adaptive,adaptive,0,0,uniform_random,0.500,27745,0.0199867,2507.884259,387.841731,2895.725990,4.404057
000_adaptive,adaptive,0,0,uniform_random,0.525,27511,0.0199492,2461.693401,349.077854,2810.771255,4.423889
000_adaptive,adaptive,0,0,uniform_random,0.550,30447,0.0221961,2800.356587,334.277287,3134.633874,4.378128
000_adaptive,adaptive,0,0,uniform_random,0.575,25048,0.0179484,2682.595195,384.133455,3066.728650,4.479716
000_adaptive,adaptive,0,0,uniform_random,0.600,26230,0.0188812,3077.900157,350.788605,3428.688762,4.465740
000_adaptive,adaptive,0,0,uniform_random,0.625,25355,0.0182109,2971.282497,351.212999,3322.495495,4.524153
000_adaptive,adaptive,0,0,uniform_random,0.650,25122,0.0179906,2490.686165,392.731110,2883.417275,4.428001
000_adaptive,adaptive,0,0,uniform_random,0.675,35375,0.0260844,3113.595843,301.249101,3414.844944,4.392087
000_adaptive,adaptive,0,0,uniform_random,0.700,24930,0.0179164,2814.929447,335.416605,3150.346052,4.499586
000_adaptive,adaptive,0,0,uniform_random,0.725,25334,0.0181938,2845.950919,357.957059,3203.907978,4.462169
000_adaptive,adaptive,0,0,uniform_random,0.750,28967,0.0210352,3115.178830,313.787409,3428.966240,4.445980
000_adaptive,adaptive,0,0,uniform_random,0.775,32922,0.0241406,3438.752977,310.462589,3749.215566,4.387314
000_adaptive,adaptive,0,0,uniform_random,0.800,32683,0.023993,3465.883918,302.549640,3768.433558,4.412784
000_adaptive,adaptive,0,0,uniform_random,0.825,23327,0.0166313,3363.476888,437.354989,3800.831877,4.478673
000_adaptive,adaptive,0,0,uniform_random,0.850,29002,0.0210977,3050.739382,345.251213,3395.990594,4.413331
000_adaptive,adaptive,0,0,uniform_random,0.875,26214,0.018932,3151.638303,331.170346,3482.808649,4.390129
000_adaptive,adaptive,0,0,uniform_random,0.900,25589,0.0183867,3178.441980,376.590397,3555.032377,4.430763
000_adaptive,adaptive,0,0,uniform_random,0.925,29789,0.0217109,3272.311551,302.798525,3575.110076,4.437783
000_adaptive,adaptive,0,0,uniform_random,0.950,26002,0.0187008,2828.092284,358.519029,3186.611313,4.427414
000_adaptive,adaptive,0,0,uniform_random,0.975,24625,0.0176398,2852.123300,351.640152,3203.763453,4.435405
000_adaptive,adaptive,0,0,uniform_random,1.000,24472,0.0175562,2869.182850,316.899831,3186.082681,4.434852
340_adaptive,adaptive,3,4,uniform_random,0.025,31838,0.0248469,2,9.777261,11.777261,3.374072
340_adaptive,adaptive,3,4,uniform_random,0.050,64150,0.0500602,2.000437,9.793436,11.793873,3.365888
340_adaptive,adaptive,3,4,uniform_random,0.075,95712,0.0746922,2.002092,9.847980,11.850072,3.374610
340_adaptive,adaptive,3,4,uniform_random,0.100,127782,0.0997055,2.005038,9.883070,11.888108,3.373726
